scorer,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000,DLC_resnet50_MutiAnimalTopViewJan25shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,single,single,single,single,single,single
bodyparts,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,centroid,centroid,centroid,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,centroid,centroid,centroid,tailbase,tailbase,tailbase,TopLeftCornerOfBox,TopLeftCornerOfBox,TopLeftCornerOfBox,BottomLeftCornerOfBox,BottomLeftCornerOfBox,BottomLeftCornerOfBox
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,0.0,265.356,880.984,1.0,190.668,893.194,1.0,233.187,931.553,1.0,237.895,1044.061,1.0,1222.954,1251.306,1.0,1178.016,1211.942,1.0,1251.514,1199.827,1.0,1197.239,1126.446,1.0,1175.572,1018.616,1.0,204.65,188.014,1.0,200.803,1318.654,1.0
1,,,0.0,265.831,881.368,1.0,191.532,892.842,1.0,231.444,927.152,1.0,237.215,1043.955,1.0,1226.213,1264.612,1.0,1181.383,1227.538,1.0,1257.109,1219.491,1.0,1201.444,1135.218,1.0,1181.025,1034.588,1.0,204.394,188.728,1.0,200.995,1318.649,1.0
2,,,0.0,267.109,880.955,1.0,191.537,888.974,1.0,232.652,930.398,1.0,237.746,1044.601,1.0,1231.071,1276.591,1.0,1182.215,1240.861,1.0,1255.175,1229.333,1.0,1204.567,1153.815,1.0,1192.846,1049.323,1.0,203.933,187.994,1.0,201.326,1318.219,1.0
3,,,0.0,273.1,882.349,1.0,193.197,890.04,1.0,231.907,929.043,1.0,238.135,1044.498,1.0,1228.105,1284.292,1.0,1184.321,1253.931,1.0,1259.001,1244.51,1.0,1207.13,1164.536,1.0,1199.581,1059.143,1.0,203.76,188.193,1.0,201.641,1319.147,1.0
4,,,0.0,274.412,885.201,1.0,194.824,891.432,1.0,233.317,930.296,1.0,238.039,1045.327,1.0,1227.107,1295.995,1.0,1184.374,1259.992,1.0,1268.784,1249.747,1.0,1208.663,1178.273,1.0,1195.707,1073.946,1.0,204.535,188.545,1.0,201.123,1318.45,1.0
5,,,0.0,274.902,885.696,1.0,196.064,892.065,1.0,234.39,933.403,1.0,238.232,1045.089,1.0,1224.072,1297.692,1.0,1187.124,1262.348,1.0,1259.232,1251.836,1.0,1211.614,1176.419,1.0,1192.063,1077.928,1.0,205.027,188.836,1.0,201.317,1317.885,1.0
6,,,0.0,275.328,885.957,1.0,197.098,892.533,1.0,234.118,933.975,1.0,237.686,1045.091,1.0,1227.144,1302.054,1.0,1189.72,1264.215,1.0,1260.875,1253.02,1.0,1208.572,1188.152,1.0,1178.826,1085.877,1.0,203.819,187.643,1.0,201.147,1318.435,1.0
7,,,0.0,266.978,890.536,1.0,197.314,890.155,1.0,232.031,948.164,1.0,238.067,1043.709,1.0,1226.422,1300.854,1.0,1193.459,1260.932,1.0,1262.073,1250.542,1.0,1220.129,1203.729,0.8029999732971191,1164.193,1091.321,1.0,203.858,187.828,1.0,201.677,1318.367,1.0
8,,,0.0,274.678,887.173,1.0,197.239,891.545,1.0,228.269,935.03,1.0,237.83,1045.337,1.0,1232.174,1297.184,1.0,1189.284,1266.217,1.0,1265.918,1247.92,1.0,1207.671,1187.919,1.0,1160.39,1091.127,1.0,204.689,188.569,1.0,201.797,1319.369,1.0
9,,,0.0,274.839,887.33,1.0,197.074,892.142,1.0,229.395,934.937,1.0,238.33,1045.15,1.0,1251.639,1289.612,1.0,1201.31,1263.772,1.0,1268.685,1232.966,1.0,1206.567,1192.908,1.0,1157.694,1090.801,1.0,204.691,188.356,1.0,201.995,1317.534,1.0
