coords,snout_x,snout_y,ID,centroid_x,centroid_y
0,,,mouse1,233.187,931.553
1,,,mouse1,231.444,927.152
2,,,mouse1,232.652,930.398
3,,,mouse1,231.907,929.043
4,,,mouse1,233.317,930.296
5,,,mouse1,234.39,933.403
6,,,mouse1,234.118,933.975
7,,,mouse1,232.031,948.164
8,,,mouse1,228.269,935.03
9,,,mouse1,229.395,934.937
10,,,mouse1,230.972,948.148
11,,,mouse1,232.158,947.558
12,,,mouse1,232.186,949.252
13,,,mouse1,230.816,932.444
14,,,mouse1,234.45,942.874
15,272.536,842.925,mouse1,232.225,924.095
16,,,mouse1,233.097,935.17
17,,,mouse1,232.308,906.27
18,276.1,816.287,mouse1,232.315,903.182
19,,,mouse1,233.047,907.526
20,274.941,805.934,mouse1,232.969,891.304
21,274.259,800.084,mouse1,233.418,884.457
22,,,mouse1,240.083,889.703
23,,,mouse1,237.594,882.377
24,,,mouse1,238.179,871.854
25,,,mouse1,233.199,872.003
26,,,mouse1,233.612,868.578
27,270.121,784.828,mouse1,232.288,860.115
28,266.318,786.479,mouse1,229.438,871.261
29,,,mouse1,226.93,882.66
30,,,mouse1,231.085,887.592
31,276.732,800.116,mouse1,229.574,880.437
32,,,mouse1,230.185,892.997
33,,,mouse1,230.656,892.489
34,,,mouse1,231.312,892.52
35,290.251,814.593,mouse1,230.642,899.392
36,297.046,813.261,mouse1,230.172,884.977
37,302.69,814.634,mouse1,229.525,886.344
38,303.874,816.122,mouse1,231.614,893.224
39,304.003,817.468,mouse1,232.14,898.985
40,,,mouse1,233.209,890.216
41,,,mouse1,235.13,891.544
42,,,mouse1,234.372,887.767
43,,,mouse1,233.184,889.125
44,,,mouse1,233.012,890.187
45,,,mouse1,233.773,891.06
46,,,mouse1,232.342,889.433
47,,,mouse1,231.168,881.071
48,,,mouse1,232.419,892.462
49,,,mouse1,231.915,885.415
50,,,mouse1,233.286,888.691
51,,,mouse1,231.671,890.376
52,,,mouse1,237.15,886.49
53,,,mouse1,237.906,887.462
54,,,mouse1,234.559,889.731
55,,,mouse1,238.797,885.134
56,,,mouse1,235.716,885.711
57,,,mouse1,233.296,888.078
58,,,mouse1,231.244,892.329
59,,,mouse1,231.259,888.973
60,,,mouse1,229.52,886.032
61,,,mouse1,230.3,886.148
62,,,mouse1,231.107,886.533
63,,,mouse1,228.601,885.006
64,,,mouse1,230.066,894.104
65,,,mouse1,230.644,889.854
66,,,mouse1,231.753,886.995
67,,,mouse1,235.191,886.987
68,,,mouse1,232.303,888.135
69,,,mouse1,228.045,892.926
70,,,mouse1,229.671,894.27
71,,,mouse1,233.01,886.87
72,,,mouse1,233.678,886.171
73,,,mouse1,235.481,886.54
74,299.974,830.747,mouse1,232.421,891.266
75,305.405,841.108,mouse1,231.163,905.674
76,313.439,843.927,mouse1,231.967,905.972
77,314.586,847.267,mouse1,232.168,901.807
78,313.836,838.287,mouse1,233.754,900.508
79,305.005,829.56,mouse1,238.568,900.977
80,,,mouse1,245.183,895.625
81,,,mouse1,239.515,894.807
82,,,mouse1,231.14,892.841
83,,,mouse1,225.183,899.823
84,,,mouse1,218.26,903.147
85,,,mouse1,215.231,906.868
86,,,mouse1,211.637,908.958
87,,,mouse1,212.933,910.167
88,,,mouse1,214.513,900.701
89,268.95,814.379,mouse1,218.938,905.304
90,274.236,816.259,mouse1,226.202,891.839
91,287.006,814.236,mouse1,228.259,901.912
92,298.244,815.25,mouse1,235.342,888.75
93,,,mouse1,232.041,901.823
94,,,mouse1,241.179,899.581
95,,,mouse1,236.759,906.532
96,,,mouse1,236.876,915.399
97,,,mouse1,231.583,917.572
98,,,mouse1,230.025,918.53
99,,,mouse1,232.16,919.605
100,,,mouse1,232.604,920.729
101,,,mouse1,230.431,920.197
102,,,mouse1,232.79,918.364
103,,,mouse1,235.371,919.516
104,,,mouse1,236.593,916.853
105,,,mouse1,236.438,903.934
106,,,mouse1,234.809,901.6
107,,,mouse1,230.536,908.092
108,,,mouse1,234.116,904.079
109,,,mouse1,223.687,913.537
110,,,mouse1,223.336,912.844
111,,,mouse1,218.572,915.401
112,,,mouse1,218.081,915.953
113,,,mouse1,218.001,917.609
114,,,mouse1,224.338,915.377
115,,,mouse1,233.529,908.085
116,301.679,833.063,mouse1,233.216,903.742
117,304.186,826.042,mouse1,234.622,902.435
118,311.601,819.651,mouse1,239.276,897.124
119,317.134,819.359,mouse1,242.6,893.666
120,,,mouse1,243.08,903.154
121,,,mouse1,242.533,904.278
122,,,mouse1,244.359,905.052
123,,,mouse1,230.44,916.512
124,,,mouse1,230.894,919.477
125,,,mouse1,233.712,921.783
126,,,mouse1,233.785,919.617
127,,,mouse1,230.393,916.857
128,,,mouse1,232.945,913.939
129,,,mouse1,235.125,907.219
130,,,mouse1,232.698,913.538
131,,,mouse1,235.038,916.707
132,,,mouse1,233.434,916.488
133,,,mouse1,234.51,915.792
134,,,mouse1,230.234,916.368
135,,,mouse1,236.278,906.958
136,,,mouse1,238.877,908.157
137,,,mouse1,230.981,914.403
138,,,mouse1,236.17,906.05
139,,,mouse1,234.304,906.885
140,,,mouse1,229.995,914.461
141,,,mouse1,227.553,914.327
142,,,mouse1,234.374,905.247
143,,,mouse1,237.526,903.206
144,,,mouse1,235.808,903.433
145,,,mouse1,233.378,902.376
146,,,mouse1,235.721,907.378
