Sex,Genotype,Amplitude,Frequency,Cell_ID
Male,WT,22.09,1.96,220519_WT_M_#03
Male,WT,18.93,2.66,220519_WT_M_#08
Male,WT,16.57,2.35,220519_WT_M_#11
Male,WT,14.12,1.85,220519_WT_M_#12
Male,WT,24.97,1.42,220614_WT_M_#01
Male,WT,17.01,1.75,220614_WT_M_#02
Male,WT,19.76,2.34,220614_WT_M_#09
Male,WT,18.4,2,220614_WT_M_#10
Male,WT,26.31,3.83,220614_WT_M_#11
Male,WT,15.22,1.24,220614_WT_M_#15
Male,WT,17.77,3.81,220614_WT_M_#16
Male,WT,15.28,3.05,220614_WT_M_#17
Male,WT,17.03,0.72,220614_WT_M_#18
Male,WT,18.13,12.37,220706_WT_M_#07
Male,WT,16.21,4.73,220706_WT_M_#11
Male,WT,17.47,3.98,220525_WT_M_#09
Male,WT,21.65,3.08,220525_WT_M_#10
Male,WT,21.23,0.79,220525_WT_M_#12
Male,WT,15.54,1.25,220525_WT_M_#13
Male,WT,18.89,7.19,220525_WT_M_#14
Male,HM,17.05,1.25,220610_KO_M_#12
Male,HM,17.89,3.17,220610_KO_M_#14
Male,HM,17.52,0.81,220610_KO_M_#16
Male,HM,17.61,0.71,220610_KO_M_#17
Male,HM,20.73,4.44,220615_KO_M_#08
Male,HM,21.6,2.07,220615_KO_M_#09
Male,HM,17.72,0.69,220615_KO_M_#10
Male,HM,18.36,2.37,220615_KO_M_#12
Male,HM,22.56,2.53,220615_KO_M_#13
Male,HM,17.11,3.39,220615_KO_M_#15
Male,HM,20.48,4.05,220615_KO_M_#16
Male,HM,17.53,0.85,220615_KO_M_#17
Male,HM,18.65,4.78,220615_KO_M_#18
Male,HM,19.7,7.87,220705_KO_M_#07
Male,HM,19.65,1.31,220705_KO_M_#08
Male,HM,16.24,5.18,220705_KO_M_#09
Female,WT,15.84,0.37,220503_WT_F_#03
Female,WT,16.29,1.39,220503_WT_F_#05
Female,WT,19.81,1.33,220503_WT_F_#06
Female,WT,16.66,1.67,220503_WT_F_#07
Female,WT,17.67,3.36,220510_WT_F_#03
Female,WT,15.16,0.7,220510_WT_F_#07
Female,WT,15.03,3.56,220510_WT_F_#08
Female,WT,17.2,2.56,220513_WT_F_#02
Female,WT,16.92,2.15,220531_WT_F_#04
Female,WT,24.35,9.52,220531_WT_F_#07
Female,WT,19.72,4.62,220531_WT_F_#08
Female,WT,18.72,5.38,220531_WT_F_#09
Female,WT,16.88,3.29,220531_WT_F_#10
Female,WT,24.01,2.61,220531_WT_F_#12
Female,HM,24.27,6.85,220504_KO_F_#04_L5
Female,HM,15.74,2.42,220504_KO_F_#05_L5
Female,HM,18.69,1.91,220504_KO_F_#06_L5
Female,HM,19.97,3.05,220504_KO_F_#07_L5
Female,HM,18.1,2.01,220511_KO_F_#03_L5
Female,HM,20.72,2.33,220511_KO_F_#04_L5
Female,HM,16.41,1.4,220511_KO_F_#08_L5
Female,HM,24.69,2.01,220527_KO_F_#06_L5
Female,HM,18.89,3.27,220527_KO_F_#10_L5
Female,HM,16.81,4.51,220527_KO_F_#12_L5
Female,HM,19.37,0.96,220603_KO_F_#06_L5
Female,HM,16.34,2.53,220603_KO_F_#09_L5
Female,HM,18.18,0.84,220603_KO_F_#10_L5
Female,HM,18.9,0.76,220603_KO_F_#13_L5
