,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,35318,39.51722416965551,1.5144059024762415,1111,34529,38.741605625167885,-0.11255769578707317,1086,0.775618544487628
1,40787,44.893469822130605,1.7682123669630618,1283,40061,44.179782796404346,-0.03954188281390871,1260,0.7136870257262586
2,50997,54.93030802139384,1.3852825726688272,1604,50285,54.23038355539233,0.11336937591118589,1581,0.6999244660015123
3,63487,67.20847737583046,1.1576185001455863,1997,62124,65.86859388262812,-0.4758419359143041,1954,1.3398834932023362
4,85988,89.3278599734428,0.6320948208121655,2704,84459,87.82479184350416,-1.481626057072708,2656,1.5030681299386401
5,94858,98.04742459905151,1.2012810047441709,2984,93401,96.61513534769729,-1.1235504444986881,2938,1.43228925135422
6,110062,112.99356446012871,0.5838220386761824,3462,109464,112.40570655188587,-0.676638054424169,3443,0.5878579082428388
7,132907,135.45111281097775,2.091097764487858,4180,131417,133.98638324027235,0.45663913274415563,4134,1.4647295707054013
8,140757,143.16797665664046,1.9687281872583569,4427,140104,142.52605154947898,-0.5927258483095545,4407,0.6419251071614838
9,150997,153.23430605531388,1.5156849839579356,4749,150239,152.48916175021677,0.23064838943202312,4726,0.7451443050971136
10,185604,187.25437065491258,1.190654707162874,5838,184791,186.4551591508968,-0.3359734466147452,5813,0.7992115040157728
11,211587,212.79669846406603,1.3942878676699966,6655,210408,211.63769432724612,-1.1086669852851834,6618,1.1590041368199024
12,231230,232.10655279786894,1.0764821962943203,7273,230533,231.42137393157253,-0.008533333048694367,7251,0.6851788662964111
13,259247,259.64838392703234,-0.395143310392012,8155,258664,259.0752716184946,-1.5666904550405545,8136,0.573112308537759
14,279426,279.485147690297,1.488135503348029,8790,278557,278.6308859473823,-1.1717432279094526,8762,0.8542617429147299
15,309368,308.9193307816134,1.2876135758772338,9731,308454,308.02083223958334,-0.28730416982140355,9703,0.8984985420300404
16,319622,318.99942274001154,1.6208907163062278,10054,318889,318.2788544344229,-0.19992345231489964,10031,0.7205683055886425
17,349647,348.51519814969606,1.100004856485384,10998,348562,347.448599771028,-0.7561437887279819,10964,1.0665983786680613
18,357584,356.31758647364825,1.364705877603346,11248,355809,354.5726905085462,-1.2176285860269058,11192,1.744895965102046
19,363979,362.60412714791744,1.0943315192677985,11449,362637,361.28488749430227,0.09924609258625665,11407,1.3192396536151705
20,381301,379.6323456873531,1.6043591150367993,11994,380554,378.8980148220397,0.07759292016236664,11971,0.7343308653133818
21,405596,403.515302009694,1.7542552987100573,12758,404905,402.83602138327956,0.6701958976847038,12737,0.6792806264144247
22,440947,438.266748354665,1.36324283418493,13871,439223,436.57198742856025,-0.8951423729297858,13816,1.6947609261047774
23,454354,451.4463653710727,1.0085601348951008,14292,453343,450.45251195094977,-0.1960204822110862,14260,0.9938534201229459
24,491526,487.98792752024144,0.9614423913986391,15462,490164,486.64902706701946,-1.0232016938367197,15419,1.3389004532219815
25,501993,498.27740699445184,0.9045498559972909,15791,501211,497.5086697298266,-0.8573068268703473,15766,0.7687372646252584
26,506816,503.01860881962784,1.6397472440625158,15943,505992,502.2085838758283,0.017576489418927328,15917,0.810024943799533
27,516385,512.4253183914936,1.1415114746272441,16244,515381,511.4383462512331,-1.9602800084160747,16212,0.9869721402605478
28,530410,526.2124541157509,1.6690881833053115,16685,529786,525.5990371680192,0.6576288503094264,16665,0.6134169477317073
29,560446,555.7390429652191,0.9166754812393376,17630,559894,555.196404896072,0.043057195826630895,17612,0.5426380691471877
30,571830,566.9299701014006,1.4454424321188217,17988,570419,565.542900689142,-0.1254412757493246,17943,1.3870694122585974
31,591993,586.7510052249798,1.582313404092954,18622,591146,585.9183703616326,-0.006087980308716897,18595,0.8326348633472662
