,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,6768,11.43373801132524,0.6467661902197309,212,6096,10.773135144537298,-0.810774912115999,191,0.6606028667879418
1,10763,15.360982732780345,1.718027362160955,338,8639,13.273005814539884,-2.297842710667658,271,2.087976918240461
2,16865,21.359492692810147,1.751249292998353,530,16072,20.57994198840116,-0.0931969260271019,505,0.7795507044089867
3,32207,36.44129207117416,1.2747741381844617,1013,31141,35.39337145213257,0.18333334741475377,979,1.0479206190415908
4,46176,50.17337755653245,0.8282651982741079,1452,45479,49.488198690236025,-0.2253405572165499,1430,0.6851788662964253
5,58183,61.976738600465225,1.0686545181041964,1830,57345,61.15295109694098,-0.7411617591979134,1803,0.8237875035242439
6,66178,69.83614324327714,1.3855216359736398,2081,65470,69.14015093719698,-1.421922299776995,2059,0.6959923060801572
7,78628,82.07499099850018,1.275246328736458,2473,77824,81.28462685430746,-0.44299037825299226,2448,0.790364144192722
8,89482,92.74490694510186,1.6977537660738222,2814,88518,91.79725640405488,0.5858586249147054,2784,0.9476505410469827
9,91631,94.8574598628508,1.7826895099459734,2882,90229,93.47923781041524,-0.4623958355009935,2838,1.3782220524355608
10,94653,97.82820668343587,1.5587115228696953,2977,93796,96.98574142028517,-0.9515928850133564,2950,0.8424652631507001
11,109116,112.04591391908173,1.0114449712214877,3432,108252,111.19656737606866,-1.0314866552585347,3405,0.8493465430130698
12,115075,117.90384916192302,1.6286090966915925,3619,114445,117.28453397430933,0.6882262510598793,3600,0.6193151876136938
13,136713,139.17486825650263,1.3698188013285628,4300,134282,136.78509806429804,-0.07919403511974162,4224,2.389770192204594
14,151769,153.97551820048963,0.8524851763785202,4774,151093,153.31098317378033,-0.9075478253796798,4752,0.6645350267093022
15,153854,156.02515655949688,0.8955006691235052,4839,152959,155.1453357770933,-1.8593881968958106,4811,0.8798207824035842
16,163211,165.22346165553077,0.7063819341112694,5134,162377,164.4036063119279,-1.2863963715130058,5107,0.8198553436028817
17,184033,185.6923201261536,1.1500354388979441,5789,183349,185.0199207796016,-0.30497775563717056,5767,0.6723993465519982
18,190996,192.53722750925544,0.7475398919810643,6008,190127,191.6829657663407,-1.071938483675897,5980,0.8542617429147583
19,199670,201.06411629871766,0.8663697009589282,6281,198821,200.2295153554097,-0.6965516931143096,6254,0.8346009433079757
20,201677,203.03707753925846,1.609250180538925,6344,200366,201.74831212503375,-1.3012266720290284,6302,1.288765414224713
21,221132,222.16212035675758,1.257776761021796,6956,220584,221.6234144475317,-0.4766340688052021,6938,0.5387059092258824
22,226477,227.41646905167062,1.3270977072702457,7124,225255,226.2151941956961,-1.1211509754290405,7085,1.2012748559745035
23,231096,231.95713072085738,0.792650397686761,7269,230256,231.13137713737245,-0.94548572120932,7243,0.825753583484925
24,243391,244.04360727912785,1.493221683434488,7656,242048,242.7233845855323,-0.7177843821266298,7614,1.3202226935955537
25,268645,268.869298942614,1.8575525059989202,8450,267796,268.03469799930605,-0.4868438511423866,8424,0.8346009433079757
26,275687,275.79186648416265,1.7434498964579785,8672,274871,274.9897058602059,0.14038680828672642,8646,0.8021606239567518
27,279573,279.61195984776083,1.5489940225903147,8794,278755,278.8078331438433,0.5965998889978975,8768,0.8041267039175182
28,301133,300.806301823874,1.4191085520090858,9472,300409,300.0945808781084,-0.5850821819511088,9450,0.7117209457655918
29,311234,310.7359886652802,1.5582293046505526,9790,309798,309.3243432535131,0.5077054836998441,9745,1.411645411767097
30,321485,320.8131315037374,1.1369569471695093,10113,320577,319.92053120158937,-0.8335116229091537,10084,0.8926003021480255
31,332138,331.2854564142909,1.8859300697224686,10448,331109,330.27390827452183,-0.6395710879979446,10415,1.0115481397690473
32,336123,335.2028707359426,1.5220234125316237,10573,335113,334.2100003558,-0.30733345462522826,10541,0.9928703801426195
33,349642,348.4925882301482,1.4480607935210046,10998,348965,347.8270701634586,0.43927391420338563,10977,0.6655180666896285
34,356323,355.06027833879443,1.7213623737592278,11208,354686,353.4510418909792,-0.19398918445833901,11157,1.609236447815249
35,371773,370.2482460350351,1.6792911382826468,11694,371199,369.6839810863204,0.3571327032393924,11676,0.5642649487147082
36,374404,372.8346242233075,1.3061697751372863,11777,373340,371.7886696842266,-0.44084242565524767,11744,1.045954539080924
37,378278,376.6429211071416,1.3121841829329397,11899,376981,375.36791825264163,-1.2714068265931593,11858,1.2750028544999736
38,386460,384.6861542262769,1.021281674346546,12156,384976,383.22732289545354,-1.108328332489687,12110,1.4588313308233865
39,397421,395.4612554507749,1.2157882423664357,12501,396249,394.30913259381737,-0.3215183538302273,12464,1.1521228569575328
40,412581,410.3641415527172,0.8954659284709916,12978,411875,409.6701153265977,-0.43939297012635326,12956,0.6940262261194903
41,414501,412.2515783149684,0.5436197617873864,13039,413243,411.01491401970173,-1.6532350210720588,12999,1.236664295266678
42,434252,431.66760096664797,1.402254395522152,13660,432953,430.39063203218734,0.37054749461916603,13619,1.2769689344606263
43,441599,438.8899957022001,1.587295439641742,13891,440658,437.9649550807009,0.3473942444763337,13861,0.9250406214991926
44,450207,447.3520038529599,1.71318152621434,14162,449256,446.41713283165734,0.1697517282770818,14132,0.9348710213025697
45,467502,464.3536803129264,0.9085210198546284,14706,466940,463.80121184397575,-0.13132516399748176,14688,0.5524684689506216
46,476817,473.51069772978605,1.0706665534246955,14999,475735,472.447048471059,-1.1377342508625505,14965,1.0636492587270254
47,486648,483.1749637765007,1.2558907019914336,15308,485335,481.88423228231534,-0.49458039994947717,15267,1.2907314941853656
48,492683,489.1076100578478,1.307570068962843,15498,491994,488.4302955113941,-0.9157152845677177,15476,0.6773145464537151
49,495794,492.16584743668307,1.388317983383364,15596,495109,491.4924650501507,-0.08433859539132235,15574,0.6733823865323529
