,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,10485,15.373762252524754,3.755590032893683,329,9622,14.525398749492025,-1.9490735824704044,302,0.8483635030327292
1,16520,21.306408533871828,5.079065430429428,519,15209,20.017643119647136,-0.313719760125238,478,1.2887654142246916
2,22070,26.76228042475439,5.05714842204282,694,20371,25.09209549815809,-0.37889922820395905,640,1.6701849265962991
3,26202,30.824201623515968,3.1826641897292838,824,25481,30.115429797691405,-1.507383289897715,801,0.708771825824563
4,34594,39.073873138522536,3.647714760718983,1088,33894,38.3857451522851,0.46104068895312245,1066,0.6881279862374399
5,37956,42.37885355242293,4.293995504561737,1194,37264,41.6985898860282,0.9088519960221096,1172,0.6802636663947297
6,45237,49.53636764927265,2.1661896642821534,1423,44144,48.4619049507619,-2.3711092978874593,1388,1.0744626985107502
7,55697,59.81896584362068,4.941098456787868,1752,54628,58.768096104638076,-1.1978205995962095,1718,1.0508697389826054
8,60254,64.29867903402642,3.0942867217827406,1895,59003,63.06889601862208,-0.5873171695109252,1856,1.2297830154043439
9,61953,65.96886396062273,3.211619566794934,1948,61179,65.20799101584018,-2.1476610749067806,1924,0.7608729447825482
10,69701,73.58545772829085,3.5098976218404347,2192,68953,72.85014382299713,-0.28911794429522264,2169,0.7353139052937223
11,80735,84.43232087135358,2.5263981666849524,2539,80005,83.71470168570596,-1.2754878405376924,2516,0.7176191856476208
12,89082,92.63775558724488,3.302982710337071,2802,88018,91.59180104816397,-0.8480998618391616,2768,1.0459545390809097
13,99053,102.43964723120706,0.8234615353875044,3115,95685,99.12876857742462,-7.5408433321992465,3010,3.3108786537824386
14,105852,109.12333605753328,1.9218580698751695,3329,104419,107.7146397657072,-1.782548400818333,3284,1.4086962918260753
15,112590,115.74705944505881,3.605498964561164,3541,111521,114.69618970607621,-2.0147807314093025,3508,1.0508697389825983
16,123414,126.38748419225031,5.036685056285277,3882,122635,125.62169604756608,3.4590525112439816,3857,0.7657881446842367
