,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,2033,1.9988478307008535,4.597945724664042,63,1351,1.3284145641095195,1.6499663138379181,42,0.670433266591334
1,4716,4.6363440979509285,1.044875766718965,148,3877,3.8115735544463405,-2.890334326599118,121,0.824770543504588
2,8410,8.267693785323935,2.561589185912989,264,7255,7.132282608032158,-3.2813062057993854,228,1.1354111772917772
3,15119,14.862909013419632,3.023062883900504,475,13901,13.665566317366483,-2.8465873070173413,437,1.1973426960531484
4,21910,21.53873351990314,4.282320090550991,689,20268,19.924581872186174,-1.413773226722252,637,1.614151647716966
5,24541,24.125111708175577,0.7947831090421568,772,23810,23.406509482547623,-1.8370971907239149,749,0.7186022256279543
6,28122,27.645377877770255,1.5217370002168218,884,27130,26.670202217273765,-3.0642928415242947,853,0.9751756604964896
7,31942,31.400590602665996,4.294864373293121,1004,31244,30.714428696389238,1.9201510878083792,982,0.6861619062767588
8,34304,33.722531036227196,1.669386881844786,1079,33485,32.91742129232938,-1.9689983290337143,1053,0.8051097438978161
9,36392,35.775118515175436,-0.3255565547495223,1144,35227,34.62987693808027,-3.1771463406041396,1108,1.1452415770951632
10,39335,38.66820517731371,5.019162765187007,1237,38075,37.42957480208632,0.2289180031932195,1197,1.2386303752273875
11,41812,41.10319520861391,3.9561078239836918,1315,40548,39.86063267346516,0.6573358661818811,1275,1.2425625351487497
12,43475,42.737990695918,1.5578159669356684,1367,42770,42.044947509778865,-0.7874172858886633,1345,0.6930431861391355
13,51004,50.13929870789184,1.5107113780268828,1604,47555,46.74879381570193,-5.492730790801467,1495,3.3905048921899095
14,54873,53.9426803918242,1.7810648742744162,1726,53561,52.65293193761917,-3.5356983833040876,1684,1.289748454205025
15,59277,58.27198846523804,4.3540567412275895,1864,56273,55.31893636429908,-2.918930723488829,1770,2.9530521009389616
16,62396,61.33809016391601,3.579363273234752,1962,61192,60.15451002758762,0.592265660645837,1924,1.1835801363283878
17,69360,68.1839805869982,2.5431277818250764,2181,66913,65.77848175510817,-1.3711166958535637,2104,2.4054988318900286
18,74292,73.03233377003114,4.344902518316524,2337,73312,72.06895458929873,0.11571987961644803,2306,0.9633791807324172
19,75855,74.5688252593013,2.9708367015382224,2386,75192,73.91706975233642,0.49451050882920633,2365,0.6517555069648893
20,80603,79.23629908595183,3.3523864262864937,2535,78811,77.47469144118399,-4.356482940100498,2479,1.7616076447678353
21,83258,81.8462702337524,4.3517882763693505,2619,82056,80.66465617738469,-0.2291203317305676,2581,1.1816140563677209
22,86155,84.69413705679507,3.373772242833943,2710,85203,83.75828299551216,-0.40615621380606304,2680,0.9358540612829103
23,92267,90.70247741662827,1.695573130662058,2902,91511,89.95929919149184,-1.1052014598291342,2878,0.7431782251364325
