,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,8410,14.733803225323935,2.561589185912989,264,7255,13.598392048032158,-3.2813062057993854,228,1.1354111772917772
1,15119,21.329018453419632,3.023062883900504,475,13901,20.131675757366484,-2.8465873070173413,437,1.1973426960531484
2,21910,28.00484295990314,4.282320090550991,689,20268,26.390691312186174,-1.413773226722252,637,1.614151647716966
3,28122,34.111487317770255,1.5217370002168218,884,27130,33.136311657273765,-3.0642928415242947,853,0.9751756604964896
4,31942,37.866700042666,4.294864373293121,1004,31244,37.18053813638924,1.9201510878083792,982,0.6861619062767588
5,39335,45.134314617313706,5.019162765187007,1237,38075,43.89568424208632,0.2289180031932195,1197,1.2386303752273875
6,51004,56.605408147891836,1.5107113780268828,1604,47555,53.214903255701934,-5.492730790801467,1495,3.3905048921899024
7,54873,60.4087898318242,1.7810648742744162,1726,53561,59.11904137761917,-3.5356983833040876,1684,1.2897484542050321
8,59277,64.73809790523804,4.3540567412275895,1864,56273,61.78504580429908,-2.918930723488829,1770,2.9530521009389545
9,74292,79.49844321003114,4.344902518316524,2337,73312,78.53506402929872,0.11571987961644803,2306,0.9633791807324172
10,83258,88.3123796737524,4.3517882763693505,2619,82056,87.13076561738468,-0.2291203317305676,2581,1.1816140563677209
11,98720,103.51214384975712,3.0766559667934534,3105,97775,102.58317106833658,0.3446193316809068,3075,0.9289727814205406
12,102812,107.53474344930513,3.4616382087895032,3234,101781,106.52122922957541,-0.45160001073543493,3201,1.0135142197297142
13,106874,111.52785184944297,1.601294125679847,3361,105944,110.6136246677275,-2.5189334309880476,3332,0.9142271817154608
14,111718,116.28969751420605,4.836979994346301,3514,110146,114.74435866511283,-3.0236150811380558,3464,1.545338849093227
15,115097,119.61138960777221,4.504873793460079,3620,113445,117.98740756025185,-3.7388829797827587,3568,1.6239820475203572
16,122903,127.28499969430001,7.1294803331271535,3866,121473,125.87925252241494,0.15646284483589634,3821,1.4057471718850678
17,128326,132.6160255076795,2.1273253860919787,4036,126617,130.93601018127978,-3.9271976793533785,3983,1.6800153263997117
18,143337,147.37243865255124,0.9451299415906663,4509,142037,146.09448667811026,-2.842994579983721,4468,1.277951974440981
19,150006,153.92833228143334,4.602415655696315,4718,148543,152.4901447901971,-0.925822805483901,4672,1.4381874912362491
20,152675,156.55206598895867,3.2220554509026815,4802,151585,155.48055241038895,-1.0723089277123503,4768,1.0715135785697214
21,167725,171.34681769306366,4.839840296080116,5276,165838,169.49182125016358,-1.8671195134836813,5216,1.8549964429000738
22,175196,178.6911093861778,1.7182031327562162,5511,174371,177.88010140239797,-0.5159165186668162,5485,0.811007983779831
23,190549,193.78372220432556,3.393331859315487,5994,189618,192.86851198262977,0.023780902360309768,5964,0.9152102216957871
24,207033,209.98815324023693,5.243686957446979,6512,206432,209.39734621205307,2.3890758603809825,6493,0.5908070281838604
25,215758,218.56517706869647,7.967217659799475,6787,214543,217.37078349258434,2.444826618196273,6748,1.1943935761121338
26,223253,225.93306172133876,0.49622781038488023,7022,222260,224.95690302086194,-5.262389134312082,6991,0.976158700476816
27,227185,229.79837492403252,2.323354072901197,7146,225294,227.93944632121108,-5.219533358410661,7087,1.858928602821436
28,237435,239.8745347225093,2.1323145188475676,7469,234589,237.07680293846394,-5.095221096809545,7379,2.797731784045368
29,253820,255.9816448003671,2.1121383809366576,7984,253343,255.51273472974532,1.8904220629353143,7969,0.46891007062177437
30,261434,263.46651121066975,1.6387055090778255,8224,259859,261.91822324163553,-2.2606598878821598,8174,1.5482879690342202
31,269184,271.0850710582986,4.092919531989016,8467,268582,270.4932809901344,2.1541831241609817,8448,0.5917900681641868
32,274902,276.70609366587814,3.111700471198973,8647,274479,276.29026775419464,2.617129698003867,8634,0.41582591168349836
33,276908,278.6780718664386,3.4656623008999357,8710,276007,277.79235284415296,-2.5023947537384577,8682,0.8857190222856275
34,282539,284.2135699957286,1.2980360807635003,8887,281544,283.2354452152911,-3.972187558535699,8856,0.9781247804374971
35,290867,292.40032695199346,0.14435422922435137,9149,289722,291.2747461745051,-5.5841277676323795,9113,1.1255807774883806
