,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,44518,43.76379296629393,1.1284167827197535,1400,43099,42.368859234192605,0.4009034522465372,1355,1.3949337321013218
1,71187,69.98048620196006,1.1346799555443328,2239,69620,68.44006255276854,-0.0694847840906606,2190,1.5404236491915242
2,101424,99.70466608747647,1.6882850793997135,3190,100715,99.00769074141597,0.006782152259912442,3168,0.6969753460604977
3,110469,108.59626270964453,0.8262193051217843,3475,109252,107.39990305357173,-1.165520719366364,3436,1.1963596560728007
4,131877,129.64118260874616,1.135428724285647,4148,131033,128.81149686533988,-0.5085466694702284,4121,0.8296857434062872
5,146949,144.45756119241858,1.6067248214036132,4622,145768,143.296590975638,0.04991540725328892,4585,1.1609702167805835
6,159936,157.22430141708378,2.4287094131922196,5031,159103,156.40542911346122,1.0161153662115214,5004,0.8188723036225554
7,163762,160.98541238186155,3.1209321860381385,5151,162556,159.79986616557247,0.22584665597742268,5113,1.185546216289083
8,165977,163.1628459383129,3.7769064734323443,5221,165137,162.33709235482794,0.3839110134083011,5194,0.8257535834849534
9,182628,179.5314446509409,2.7670728073789363,5745,181957,178.8718248241333,0.5684025451749971,5723,0.6596198268075852
10,204553,201.08459621987788,1.0457638074480973,6434,202807,199.36820841420564,-0.40897552584215635,6379,1.716387805672241
11,223811,220.0159801612502,1.885972071061074,7040,222739,218.96216130232656,0.5396956033217173,7006,1.0538188589236483
12,231633,227.70531888746342,1.6143685881796777,7286,230668,226.7566853064361,0.12009361047974364,7256,0.948633581027309
13,254953,250.62981122897358,1.165910034001539,8020,252826,248.5388851907921,-0.4592193796617036,7953,2.090926038181493
14,287722,282.84304834470885,2.044999288104498,9050,286334,281.47858885199804,0.2131692003994254,9007,1.3644594927108074
15,321041,315.5969574496307,1.2963814214751919,10099,319569,314.1499225985714,-0.43071387894756014,10052,1.4470348510592999
16,332023,326.39270251371573,1.7389084590412232,10444,330981,325.36837485420233,-0.2985135113553653,10411,1.0243276595134034
17,347726,341.8293793249822,1.0692092929417198,10938,345467,339.60869200939595,-0.13562957415831933,10867,2.2206873155862468
18,362382,356.2368132768335,1.0744292727067932,11399,361766,355.6312606489446,-0.24369456339602957,11380,0.605552627888926
19,414971,407.93390280289174,1.528637569010363,13053,413545,406.5320877909281,-0.349463509037465,13009,1.401815011963663
20,450654,443.01171842133544,2.1325120094366667,14176,448988,441.37397381409033,1.0912405367617664,14123,1.6377446072451107
21,470928,462.9418709827324,1.0669666747317517,14814,470034,462.06303324030915,-0.5802333080869739,14786,0.8788377424232294
22,486164,477.9194681231804,1.3312432908389935,15293,485269,477.03964734077687,-0.5264311873310535,15265,0.8798207824035558
23,494755,486.3647645942745,1.6214877520753006,15563,494062,485.6835178878994,0.8451296292995352,15541,0.6812467063750773
24,553403,544.0180933612079,1.139756639921676,17408,552737,543.363388734302,0.00425940774731179,17387,0.6547046269058683
25,595504,585.4050595734686,1.0641828021334123,18732,594046,583.9717872821341,-0.622340228880894,18687,1.4332722913345606
