,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,3077,3.025633112411345,1.641318266749089,96,2554,2.511503202693943,0.2526232898669474,80,0.5141299097174024
1,5227,5.139169070140625,2.48790335061867,164,3682,3.6203723005165607,-0.765139823585885,115,1.518796769624064
2,10959,10.77395423744492,0.8966795196849799,344,10324,10.14972384992953,-0.9312095203007177,324,0.6242303875153912
3,16452,16.173792849448148,2.2972327676804603,517,15789,15.52203734248326,0.5469048386445934,496,0.6517555069648875
4,20482,20.135443970215128,2.293802244862609,644,19384,19.056066071802682,-2.0250012652012614,609,1.0793778984124458
5,24527,24.111840690687195,3.874139719364707,771,23695,23.29395142704498,-1.5179039990793735,745,0.8178892636422148
6,33947,33.372077305482456,2.801172821979722,1067,33211,32.648559879952806,0.805337300099929,1044,0.7235174255296499
7,42084,41.37107362550253,1.421310461907025,1323,40999,40.3044752468345,-1.3415500635307043,1289,1.0665983786680329
8,47438,46.63426968023861,1.48117366357575,1492,46814,46.02085273250695,-0.22576812037069527,1472,0.6134169477316576
9,54640,53.71412361864153,3.0230198526064114,1718,53821,52.90901387474373,0.8454848005978391,1693,0.8051097438978019
10,57748,56.76941187753577,1.6076925166915272,1816,56074,55.123802950447946,-1.2828055667566782,1763,1.645608927087821
11,73092,71.85317733586047,2.2167905250322066,2299,72312,71.08640615119589,-1.1033518131046136,2274,0.7667711846645773
12,80355,78.99299671306407,2.1053948924171797,2527,79255,77.91165273469096,0.25235800681242854,2493,1.0813439783731127
13,90994,89.45155906389283,3.124375594924307,2862,89950,88.4252653244187,-0.13333034874850327,2829,1.0262937394741272
14,94449,92.84796219596477,3.603051065795556,2971,93694,92.10576701080868,0.31755103367388454,2947,0.742195185156092
15,99858,98.1652254496195,2.116082520354599,3141,99147,97.46628402359833,-0.6431080440554767,3118,0.6989414260211646
16,111425,109.53604890220304,2.485829052371899,3505,110090,108.2236905284502,0.7009126596188517,3463,1.3123583737528293
17,118983,116.96586507360671,2.2457958470499,3742,118394,116.38685452518692,0.9012177881001062,3724,0.579010548419788
18,128419,126.2418303280874,2.1892315922478103,4039,127608,125.44458490403231,-0.21637105306292737,4014,0.7972454240550917
19,134047,131.77437933743641,3.3413448372973322,4216,132980,130.72547567841448,-0.2580331937828459,4183,1.0489036590219314
