,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency,Height
0,9755,9.589882547968415,11.152703859900464,306,7360,7.235501795056031,-1.8345763153829018,231,2.354380752912384,12.987280175283367
1,17294,17.00102095974565,6.134909928669252,544,16261,15.985540660055253,-1.7331927303010737,511,1.0154802996903953,7.868102658970326
2,42472,41.75200158472603,6.130224220701002,1336,41391,40.68933536597936,-2.5954787007883806,1302,1.0626662187466707,8.725702921489383
3,49622,48.78073744415131,5.0777636067370535,1560,47764,46.95424916068109,-6.8622389111111985,1502,1.8264882834702263,11.940002517848253
4,63023,61.954456220676946,13.55345499323786,1982,62443,61.38429303208021,8.064449916622198,1964,0.5701631885967373,5.489005076615662
5,112137,110.23548181505643,4.240070307285316,3527,110935,109.05386775868871,-6.633816052301376,3489,1.1816140563677209,10.873886359586692
6,139176,136.81589984344808,13.31242208638439,4378,136448,134.13416677708273,-5.092600887811316,4292,2.6817330663653536,18.405022974195706
7,147792,145.28577231405063,14.700402833799997,4649,146622,144.13561553705375,5.320074002815836,4612,1.1501567769968801,9.38032883098416
8,163782,161.00458159967445,13.53137801560073,5152,163189,160.4216388913333,9.327219090288866,5133,0.5829427083411645,4.204158925311864
9,173324,170.38474909207108,7.61911767426196,5452,172428,169.50394526968716,-7.272548205872597,5424,0.8808038223839105,14.891665880134557
10,211238,207.65572690665152,8.720027753449402,6644,209562,206.00815189960304,-0.13302394780034815,6592,1.6475750070484878,8.85305170124975
11,231242,227.3204586733569,6.784603012661551,7274,229953,226.05332013869966,-2.989816426351915,7233,1.2671385346572492,9.774419439013466
12,252578,248.2945996938741,7.865663361374532,7945,251480,247.21522179546164,4.173435506268141,7910,1.0793778984124458,3.692227855106391
13,270369,265.7838639840888,8.854618956586393,8505,269454,264.8843824020784,0.24384389908603302,8476,0.8994815820103668,8.61077505750036
14,276902,272.20606417564477,6.779343133491571,8710,275648,270.9733320402994,-3.361080354883794,8671,1.2327321353453726,10.140423488375365
15,289536,284.6257912872502,4.9786164909323025,9108,288705,283.8088850635883,-0.9844562636410218,9081,0.8169062236618743,5.963072754573324
16,315298,309.9508672607487,6.0717343948318465,9918,314656,309.3197555933709,2.880622812707002,9898,0.6311116673777519,3.1911115821248446
17,327097,321.5497559887709,7.489663008428791,10289,326255,320.7220363253253,2.156323113723167,10263,0.8277196634456345,5.333339894705624
18,350581,344.6354668870567,8.038633318704159,11028,349649,343.7192736253806,1.7883217118967676,10999,0.9161932616760851,6.250311606807392
19,381997,375.51865090939305,10.13331471209815,12016,381199,374.73418500508234,2.8564569729333837,11991,0.7844659043107072,7.276857739164766
20,406624,399.7279765052065,10.327738354828222,12791,405890,399.00642515963756,3.7451664832868916,12768,0.7215513455689688,6.58257187154133
21,412506,405.5102176695617,9.138145115281143,12976,410151,403.1951585158629,-2.8742000213514323,12902,2.315059153698826,12.012345136632575
22,424911,417.70482862566945,6.810824445370678,13366,423776,416.5890782479845,-3.692903528259083,13330,1.1157503776849467,10.503727973629761
23,470090,462.11759189741423,8.6793504381293,14787,467996,460.05910617858393,-0.7887965478257243,14721,2.0584857188302976,9.468146985955023
24,562404,552.8659446424472,10.359283587654208,17691,560611,551.103353957699,1.0902840912849157,17635,1.7625906847481474,9.268999496369291
25,573304,563.5810804281444,8.165532601846758,18034,572243,562.5380750090046,-0.3680366063840408,18001,1.0430054191398312,8.533569208230798
