,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
0,7227,7.105085184488248,2.2157310670487282,227,6432,6.3235684001185835,0.7903378324911658,202,0.7815167843696642
1,19620,19.287899660831958,1.3609612095688641,617,18984,18.662686233336228,-0.18618162772917307,597,0.62521342749573
2,24810,24.38987715879241,0.1394919251127831,780,23924,23.518903736211875,-2.0296618601205125,752,0.8709734225805335
3,28283,27.803975010510452,-0.33383109503219516,889,26748,26.29500864068978,-2.3327624553898834,841,1.5089663698206728
4,32219,31.67322037312554,-0.20316599658562592,1013,31196,30.667570473238545,-2.651512141215057,981,1.005649899886997
5,39849,39.17381542311364,1.0351915651453378,1253,39012,38.351010959569734,-0.4577368866668334,1227,0.8228044635439034
6,58958,57.958726407415426,2.096693322623154,1854,58193,57.20670082245593,1.0233505471535276,1830,0.7520255849594975
7,68750,67.58465389489687,2.293348849339572,2162,67899,66.74808687162822,0.748808244200787,2135,0.8365670232686568
8,80955,79.58265685493681,2.7861024021579794,2546,79334,77.98914904680697,0.7356090179744414,2495,1.5935078081298428
9,99857,98.16407856330838,2.236684112539675,3141,99212,97.53001777598959,0.19619738056130068,3120,0.6340607873187878
10,102743,101.00113194656731,2.4534383890368927,3232,101725,100.000397246582,-1.268681776903364,3200,1.0007346999853155
11,108705,106.86201630934963,0.9212318765656566,3419,107632,105.80721441044567,-1.7466470097816191,3385,1.0548018989039605
12,111063,109.18002458298946,0.7031914543137191,3493,110231,108.36213531934725,-1.3228633851742426,3467,0.8178892636422148
13,118662,116.65014539358704,2.4628009571673397,3732,115309,113.35401233950971,-0.5145788163710057,3627,3.2961330540773304
14,138770,136.4171133182477,1.5699040388133707,4365,136919,134.59750631463982,-2.0017612502904254,4307,1.8196070036078709
15,144900,142.443148397727,0.884530373688637,4558,143658,141.2222127421457,-1.291381138007334,4519,1.220935655581286
16,152922,150.32909512000805,1.8662845089990134,4810,151354,148.78768843083617,0.5439391918390805,4761,1.541406689171879
17,159760,157.0511225055675,2.0297981262486013,5025,158833,156.13984444379307,0.5529189490335336,4996,0.9112780617744249
18,170629,167.73578405187428,1.2226286882781894,5367,167054,164.22141612216163,-2.0585457143247634,5255,3.514367929712648
19,176210,173.22213018214734,0.7357941282357349,5543,175508,172.53203611594924,-0.5487175498299921,5521,0.6900940661980997
20,183127,180.02181772615359,0.2676664837302876,5760,182404,179.31107982036835,-1.696222730851168,5737,0.710737905785237
21,189097,185.89056640877862,0.2488545799337162,5948,187789,184.60475011449495,-2.00220518349912,5907,1.285816294283677
22,198280,194.9178225482335,0.5893927622579824,6237,197372,194.0252222460855,-1.0510089206794495,6208,0.8926003021479971
23,200396,196.99793514663125,1.8000058385690074,6303,199570,196.18594412287106,-2.472877943655601,6277,0.8119910237601857
24,227385,223.52920117600593,1.4532014929999522,7152,226350,222.51175479635486,-0.7014736793196773,7120,1.0174463796510622
25,236691,232.67737123304252,1.5013780422435012,7445,235878,231.87815972902675,-0.05193867978230921,7420,0.7992115040157728
26,246976,242.7879374308312,1.290959096829967,7769,246215,242.03984400579307,0.09481346677722699,7745,0.748093425038121
27,252655,248.37062147917752,1.4204059984225177,7947,251030,246.77318151112632,-0.31003475520353074,7896,1.5974399680511908
28,258173,253.79503609068925,1.5746474170076203,8121,257414,253.04890874561178,0.28035600862308585,8097,0.7461273450774684
29,271344,266.7426556717369,1.5908312301089906,8535,270473,265.88642784886144,-1.714370605660143,8508,0.8562278228754394
30,276278,271.5929749347305,2.138109793350278,8690,275378,270.7082389524252,-1.1434570889942341,8662,0.8847359823053011
31,284962,280.1296941239961,2.8697371662182114,8964,284099,279.2813306209634,0.5409611585195613,8937,0.848363503032715
32,299573,294.49289127673217,1.703315759132931,9423,296697,291.6656682932766,-1.3108944357282877,9333,2.827222983455556
33,309350,304.1040731645085,2.1027494566763627,9731,308590,303.3569627794507,0.45430497160364397,9707,0.7471103850577947
34,318087,312.6928934727321,1.6640631746077639,10006,317003,311.6272781340444,-0.5571265928698202,9972,1.065615338687735
35,327403,321.8508939295721,1.576049954656278,10299,326210,320.67812723302745,-0.6954024830714195,10261,1.1727666965446701
36,336666,330.9567932674541,1.9502468420484977,10590,335825,330.13005664398884,0.31254574186554357,10564,0.8267366234652513
37,339220,333.4674773772404,1.65793499696992,10670,338238,332.50213211654733,-1.4127985564590584,10640,0.9653452606930841
38,355017,348.9965599466588,2.2570364055013483,11167,353349,347.356849259453,-0.9040540349539731,11115,1.6397106872058202
39,362304,356.1599722833905,2.3930905376467346,11397,361392,355.2634398213212,-0.35618951039100016,11368,0.8965324620693309
40,381046,374.58410759490783,1.2747527877410403,11986,379540,373.103649384517,-1.2325148103813495,11939,1.4804582103908501
41,390207,383.58973685479526,0.95699972283093,12274,389411,382.8072370304452,-0.004318578109446464,12249,0.7824998243500545
