,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency,Height
0,4433,4.358143777420088,5.497617072874545,108,3452,3.3937815567073324,-0.14733414289450672,84,0.964362220712756,5.644951215769051
1,8700,8.552775373527457,5.003587959017904,213,7417,7.291535078752262,-2.003385832594446,182,1.2612402947751944,7.006973791612349
2,15120,14.863892047305125,7.073954018095872,371,14121,13.881835106946262,-0.6626398017488594,347,0.9820569403588628,7.736593819844732
3,19934,19.596246512658034,4.8748340632308,489,17929,17.62525135207794,-3.345961062606457,440,1.9709951605800953,8.220795125837256
4,25984,25.543638393710197,0.7606580916511144,638,25346,24.916458886253785,0.11233843268320538,622,0.627179507456411,0.648319658967909
5,32286,31.738756349807836,2.1866848473874514,793,31055,30.528634134010282,-4.001425015506038,763,1.2101222157975542,6.188109862893489
6,48442,47.62075027216796,8.25654705757368,1190,47750,46.94048660577323,5.268416658832,1173,0.6802636663947297,2.9881303987416805
7,52254,51.36809867722099,5.827996603624272,1284,51452,50.57970061298895,-1.543264621010982,1264,0.788398064232041,7.371261224635254
8,58163,57.17688192104533,2.6485749031834485,1429,55568,54.6258931720651,-0.38391325672802223,1365,2.550988748980231,3.0324881599114706
9,78475,77.14439000169516,3.3085480392808853,1928,77642,76.3255176980726,1.8935866685401113,1908,0.8188723036225554,1.414961370740774
10,86405,84.93989704578502,3.561442915418925,2123,85655,84.20261706053061,1.0448074572399897,2105,0.7372799852544034,2.5166354581789356
11,108078,106.24532253967651,4.058326293362802,2656,107230,105.41170463634886,-0.6617942545749758,2635,0.8336179033276494,4.7201205479377775
12,114768,112.82186000814576,1.0378105521754155,2820,112838,110.9245928460911,-3.0265506980531387,2773,1.8972671620546606,4.064361250228554
13,122584,120.50530049447694,3.6667502761970945,3012,121723,119.6589030714049,-1.4804110755346855,2991,0.8463974230720481,5.14716135173178
14,129006,126.8183832482153,3.3501262813152963,3170,128209,126.03490038388495,-0.7577455715671919,3150,0.7834828643303524,4.1078718528824885
15,151286,148.72051401017268,3.5743894050905083,3718,150650,148.09530058267694,1.5288667349932183,3702,0.625213427495737,2.0455226700972897
16,185970,182.8162726882575,3.2732511329659433,4570,185202,182.061297983357,0.9134798522597263,4551,0.7549747049004907,2.359771280706217
17,195359,192.04603506366226,6.280634475079154,4801,194417,191.12001140218274,3.3705654542643546,4778,0.926023661479519,2.9100690208147992
18,211379,207.79433554869624,5.481624702036622,5194,209574,206.01994838418398,0.12027974397716018,5150,1.7743871645122624,5.361344958059462
19,217328,213.64244039173414,2.492809499120605,5341,215898,212.2366932198491,-3.389884631853223,5305,1.4057471718850536,5.882694130973828
20,235348,231.35682083744655,3.2765637487482873,5783,234187,230.21551142027272,-2.5527978273393797,5755,1.1413094171738294,5.829361576087667
21,255207,250.87901180700274,2.791498622077068,6271,253869,249.56370431330888,-1.0825169746055077,6239,1.3153074936938651,3.8740155966825753
22,266637,262.1151587822798,4.503223308833695,6552,264167,259.687050030842,1.2223808612816278,6492,2.428108751437833,3.280842447552067
23,270587,265.9981667046197,1.5179103092014055,6649,269941,265.3631228773205,0.5336726607468398,6634,0.635043827299171,0.9842376484545656
24,275644,270.969399885195,8.029655436056425,6774,274580,269.9234453461141,0.5011600998575224,6748,1.045954539080924,7.528495336198902
25,283339,278.53389253390515,2.29278376627694,6963,282456,277.6658682312656,0.13104786293796097,6941,0.868024302639526,2.1617359033389794
26,291763,286.81502132828257,2.472326760752771,7170,290484,285.5577131934287,-1.5549768017724757,7138,1.2573081348538722,4.027303562525247
27,294249,289.2588587194058,5.330694175638541,7231,293140,288.1686673812096,-1.581255892004229,7204,1.0901913381961776,6.9119500676427705
28,312070,306.7776142090307,4.322791111817218,7669,311499,306.216298380257,3.529335498368561,7655,0.5613158287736724,0.793455613448657
29,316090,310.7294349299943,3.5207618173390465,7768,315313,309.9656128652707,1.0155230091562006,7749,0.7638220647235698,2.505238808182846
30,319248,313.8338751879055,2.3237367167709246,7845,317823,312.4330432159221,-2.2179363809451362,7810,1.4008319719833935,4.54167309771606
31,338877,333.12996696198365,5.332319799310089,8328,338097,332.36319577731905,0.14092365291244796,8309,0.7667711846646057,5.191396146397642
