p_val,avg_log2FC,pct.KD,pct.Scr,p_val_adj,gene
4.95E-61,-1.85995642,0.626,0.99,1.14E-56,Gm42418
5.70E-44,-2.001578235,0.283,0.831,1.31E-39,AY036118
4.38E-23,-0.6803129448,0.896,0.99,1.01E-18,Srrm2
9.64E-22,-7.158340865,0,0.188,2.21E-17,Gm17167
3.26E-18,-0.5135765876,0.943,1,7.49E-14,AC149090.1
9.08E-15,-0.8984563187,0.37,0.749,2.08E-10,Hnrnpa2b1
4.02E-14,-1.756004498,0.085,0.324,9.22E-10,Aldh1l2
1.10E-13,-0.6794085488,0.589,0.899,2.53E-09,Prpf4b
9.75E-13,-1.564345259,0.091,0.324,2.24E-08,Slc7a1
1.21E-12,-0.5791576816,0.909,0.99,2.77E-08,Pde10a
5.50E-12,-2.766466996,0.013,0.145,1.26E-07,Gm16172
7.39E-12,1.323984176,0.613,0.464,1.70E-07,Ddx5
5.76E-11,-1.097458608,0.12,0.353,1.32E-06,Stk40
6.93E-11,-1.795912685,0.046,0.213,1.59E-06,1700016P03Rik
1.50E-10,-6.104740552,0,0.087,3.45E-06,Gm26812
2.79E-10,0.4179367444,0.974,1,6.41E-06,Gria2
3.78E-10,-1.065680344,0.163,0.415,8.68E-06,F730043M19Rik
4.70E-10,-0.7749234184,0.448,0.768,1.08E-05,Fgf1
6.19E-10,-0.9000727478,0.233,0.517,1.42E-05,Yars
8.36E-10,-1.085201341,0.141,0.367,1.92E-05,Cars
1.14E-09,-0.639128501,0.565,0.855,2.62E-05,Man1c1
1.18E-09,-0.8692301305,0.157,0.401,2.70E-05,Grip1os2
1.61E-09,-1.901273906,0.026,0.155,3.69E-05,Asns
2.36E-09,-0.3755708623,0.917,0.981,5.41E-05,Rere
2.75E-09,-2.101510761,0.02,0.135,6.32E-05,8030451O07Rik
3.16E-09,-1.545920065,0.05,0.203,7.26E-05,Ccnd2
3.75E-09,-1.260431023,0.052,0.208,8.60E-05,Sft2d1
4.27E-09,-0.5727886539,0.657,0.879,9.81E-05,9630014M24Rik
4.60E-09,-0.773002002,0.365,0.662,1.06E-04,Fnip2
4.63E-09,-0.6584673416,0.609,0.836,1.06E-04,Gm1604a
4.64E-09,-1.525143631,0.043,0.188,1.07E-04,Phf10
5.00E-09,-1.688880084,0.041,0.184,1.15E-04,Tgfb3
5.42E-09,0.8400514836,0.72,0.667,1.24E-04,Ogt
5.47E-09,-1.0072394,0.109,0.309,1.26E-04,4930532I03Rik
5.90E-09,-1.011824243,0.143,0.372,1.35E-04,Map1a
8.52E-09,-0.7216349754,0.237,0.507,1.96E-04,Cacng8
9.58E-09,-0.9852053927,0.111,0.314,2.20E-04,Eif3c
9.60E-09,-1.052812773,0.148,0.357,2.20E-04,Lama3
1.18E-08,-1.121375515,0.124,0.324,2.70E-04,Slc1a4
1.27E-08,-0.8100877798,0.157,0.396,2.93E-04,Iws1
1.48E-08,-0.9717082075,0.128,0.333,3.40E-04,Glt1d1
1.53E-08,-0.8461316894,0.365,0.614,3.52E-04,Scg2
1.89E-08,-2.316982985,0.02,0.126,4.34E-04,Itga10
2.13E-08,-0.770806068,0.193,0.444,4.89E-04,Cep70
2.24E-08,-0.6651786373,0.348,0.647,5.13E-04,Sars
3.09E-08,-0.7376261445,0.202,0.454,7.10E-04,Mtss2
3.63E-08,-1.215700087,0.093,0.266,8.34E-04,Gm36988
4.14E-08,-0.8946949117,0.185,0.42,9.50E-04,1700111E14Rik
4.27E-08,-0.6771870535,0.126,0.338,9.80E-04,Ate1
4.30E-08,-0.8157320829,0.141,0.353,9.88E-04,Ppp2ca
5.09E-08,-0.9764414215,0.109,0.295,1.17E-03,Pdzd8
5.75E-08,-0.401366144,0.82,0.976,1.32E-03,Kcnc1
7.47E-08,0.8429481595,0.676,0.604,1.72E-03,Bend6
7.51E-08,1.364408198,0.478,0.324,1.72E-03,Cdh9
7.59E-08,-0.3639952254,0.876,0.99,1.74E-03,Mycbp2
8.52E-08,-0.7295850482,0.563,0.72,1.96E-03,Ndst3
8.99E-08,-0.7647884871,0.22,0.464,2.06E-03,Slc25a42
9.59E-08,-0.7821931753,0.237,0.483,2.20E-03,Acsl3
1.10E-07,-0.8740028307,0.146,0.338,2.51E-03,Tmem189
1.16E-07,-0.87078925,0.172,0.386,2.66E-03,Ddx1
1.27E-07,-0.6366951609,0.215,0.459,2.92E-03,Sec14l1
1.30E-07,-1.510767321,0.057,0.193,2.98E-03,Vars
1.32E-07,-0.8350886737,0.172,0.391,3.02E-03,Kif21b
1.72E-07,0.4075765243,0.974,0.981,3.94E-03,Grik2
1.83E-07,-1.101865765,0.085,0.246,4.21E-03,Flii
2.09E-07,-0.9312458148,0.061,0.203,4.80E-03,Thoc5
2.15E-07,-1.406120598,0.065,0.203,4.93E-03,Trim66
