p_val,avg_log2FC,pct.OE,pct.KD,p_val_adj,gene
1.34E-46,1.418161152,0.867,0.626,3.09E-42,Gm42418
5.13E-25,0.6940371102,0.94,0.896,1.18E-20,Srrm2
1.77E-20,7.730323127,0.172,0,4.06E-16,Gm17167
2.67E-20,-0.5267560245,0.931,0.974,6.13E-16,Gria2
1.43E-18,-0.9471909892,0.541,0.776,3.28E-14,Las1l
1.57E-17,1.217410331,0.541,0.283,3.61E-13,AY036118
2.44E-15,-0.5672547398,0.924,0.943,5.60E-11,AC149090.1
7.79E-15,-1.0468906,0.362,0.613,1.79E-10,Ddx5
2.32E-14,-0.2884618571,0.998,1,5.32E-10,Meg3
5.02E-13,-7.703322362,0,0.113,1.15E-08,Sst
1.83E-12,-0.5192062029,0.796,0.911,4.20E-08,4930402H24Rik
4.02E-12,-0.8732842277,0.534,0.717,9.23E-08,Rsrp1
6.99E-12,0.1724652826,1,1,1.61E-07,Malat1
9.79E-10,-0.6540153726,0.546,0.72,2.25E-05,Ogt
1.62E-09,0.6024438072,0.704,0.589,3.73E-05,Prpf4b
9.44E-09,0.3947221886,0.922,0.876,2.17E-04,Mycbp2
1.22E-08,1.200155141,0.333,0.18,2.80E-04,Gm15478
1.54E-08,-1.19494179,0.142,0.302,3.55E-04,B230334C09Rik
2.54E-08,-0.2866193089,0.938,0.976,5.84E-04,Kcnh7
3.89E-08,0.8165719404,0.509,0.37,8.94E-04,Hnrnpa2b1
4.41E-08,0.4063581113,0.94,0.909,1.01E-03,Pde10a
1.02E-07,-1.696696133,0.032,0.13,2.35E-03,Mid1
3.97E-07,-0.4108342528,0.706,0.809,9.11E-03,Peg3
6.20E-07,-0.8710096837,0.197,0.348,1.42E-02,Eif2s3y
1.27E-06,-0.5292002745,0.294,0.461,2.92E-02,Ddx17
1.36E-06,-0.8223135694,0.229,0.372,3.12E-02,Atp6v1b2
1.65E-06,-0.5200601849,0.516,0.676,3.80E-02,Bend6
2.33E-06,-0.7696724955,0.206,0.354,5.35E-02,Ssbp4
2.47E-06,-1.198395926,0.076,0.185,5.66E-02,Abhd14b
3.80E-06,-0.7116075622,0.291,0.441,8.73E-02,Slc25a3
4.01E-06,2.746430817,0.076,0.013,9.21E-02,Gm16172
6.61E-06,-0.4442729188,0.47,0.637,1.52E-01,Polb
7.82E-06,-0.8502153438,0.142,0.272,1.79E-01,Ndufaf4
1.24E-05,-1.005034682,0.112,0.224,2.84E-01,Phkg2
1.33E-05,-0.7367382395,0.163,0.293,3.06E-01,Fndc1
1.51E-05,-0.7400003804,0.126,0.246,3.47E-01,Aars
1.51E-05,-1.160777895,0.101,0.204,3.47E-01,Rps2
1.69E-05,-0.2826668482,0.766,0.859,3.89E-01,Rbm39
1.89E-05,-0.7922258937,0.165,0.287,4.34E-01,Stt3b
2.45E-05,-0.3104977203,0.803,0.867,5.62E-01,Gpatch8
2.63E-05,-1.174688694,0.06,0.148,6.03E-01,Ftl1
2.82E-05,-0.6926324381,0.252,0.385,6.47E-01,Slf1
2.85E-05,-1.008227948,0.096,0.193,6.53E-01,Pex3
2.94E-05,1.278403387,0.174,0.085,6.75E-01,Flii
3.52E-05,-0.5662152717,0.353,0.502,8.07E-01,Ckb
4.25E-05,-0.4257271756,0.578,0.689,9.76E-01,Fus
5.26E-05,-1.049525837,0.055,0.137,1.00E+00,Prkd1
5.32E-05,-1.392228897,0.034,0.104,1.00E+00,Rps29
5.39E-05,-0.8682449155,0.14,0.246,1.00E+00,Bfar
6.11E-05,-0.5743651799,0.349,0.485,1.00E+00,Mat2a
6.83E-05,1.324555345,0.144,0.065,1.00E+00,Nnat
8.20E-05,-1.014586349,0.053,0.13,1.00E+00,Hnrnph2
8.72E-05,-1.719447622,0.021,0.078,1.00E+00,1700126G02Rik
1.02E-04,0.8847206984,0.296,0.202,1.00E+00,Mtss2
1.04E-04,-0.8243076191,0.122,0.222,1.00E+00,Zfp523
1.17E-04,-0.4294338882,0.633,0.722,1.00E+00,Satb1
1.28E-04,-0.4903721909,0.5,0.622,1.00E+00,Srsf2
1.31E-04,-2.333703782,0.007,0.05,1.00E+00,Zfp58
1.32E-04,-0.6836414019,0.195,0.307,1.00E+00,Snhg20
1.40E-04,-0.33058917,0.876,0.913,1.00E+00,Mgat4c
1.42E-04,0.8491435849,0.289,0.193,1.00E+00,Cep70
1.43E-04,0.2761632623,0.872,0.82,1.00E+00,Kcnc1
1.44E-04,0.2933978781,0.796,0.722,1.00E+00,Nf1
1.49E-04,-0.7111888614,0.085,0.176,1.00E+00,Gm26782
1.59E-04,1.711334628,0.11,0.046,1.00E+00,Gm13483
1.61E-04,-1.109455378,0.122,0.213,1.00E+00,Ldb2
1.64E-04,0.5435115866,0.654,0.609,1.00E+00,Gm1604a
1.68E-04,-0.4448897578,0.417,0.565,1.00E+00,Calm2
1.77E-04,0.2276304839,0.959,0.92,1.00E+00,Rims2
1.79E-04,-1.364360133,0.039,0.104,1.00E+00,Zfp560
1.89E-04,-1.090654718,0.046,0.115,1.00E+00,Slc25a5
1.92E-04,0.4141464168,0.661,0.58,1.00E+00,Cux2
1.95E-04,-0.8284501334,0.149,0.246,1.00E+00,Ndufa4
2.05E-04,-0.3268209211,0.743,0.811,1.00E+00,Kcnq5
2.40E-04,-0.9097613025,0.06,0.135,1.00E+00,Ddx47
2.41E-04,-0.6399318027,0.165,0.272,1.00E+00,Pnpt1
2.52E-04,0.2919330885,0.803,0.713,1.00E+00,Tmem132d
2.61E-04,-0.7848934282,0.124,0.215,1.00E+00,Akap17b
2.75E-04,-1.201943217,0.064,0.139,1.00E+00,Gas5
2.88E-04,0.5852930725,0.422,0.322,1.00E+00,Paxbp1
2.96E-04,-0.3938665716,0.626,0.733,1.00E+00,Kif21a
2.97E-04,-0.4329892365,0.507,0.613,1.00E+00,Srek1
2.97E-04,0.5299429309,0.466,0.389,1.00E+00,Rbfox3
2.98E-04,2.118849615,0.076,0.024,1.00E+00,Galnt14
3.07E-04,-0.4298317639,0.42,0.55,1.00E+00,Psma3
3.14E-04,-1.56417433,0.021,0.072,1.00E+00,Itpa
3.15E-04,0.255770431,0.897,0.848,1.00E+00,Sh3rf3
3.19E-04,-0.57568941,0.264,0.376,1.00E+00,Gm10419
3.24E-04,1.492106337,0.14,0.072,1.00E+00,Gm47027
3.31E-04,0.540042901,0.445,0.354,1.00E+00,Sptb
3.34E-04,1.078632911,0.161,0.087,1.00E+00,Synj2
3.39E-04,-0.7363358979,0.124,0.217,1.00E+00,Rpl41
3.39E-04,0.2497318055,0.862,0.865,1.00E+00,Prkce
3.44E-04,5.23033252,0.028,0,1.00E+00,Gm21860
3.50E-04,-2.452066237,0.009,0.05,1.00E+00,Trappc5
3.77E-04,0.5422680911,0.502,0.422,1.00E+00,Psip1
3.78E-04,-0.4122476321,0.353,0.478,1.00E+00,Cdh9
4.01E-04,-1.331189343,0.028,0.083,1.00E+00,Hnmt
4.23E-04,-0.4554231561,0.209,0.322,1.00E+00,Csde1
4.30E-04,-0.4364122398,0.461,0.567,1.00E+00,Ints6l
4.45E-04,0.553341087,0.392,0.296,1.00E+00,Gm48091
4.57E-04,-1.438896232,0.021,0.07,1.00E+00,Cops9
4.68E-04,0.4038500716,0.791,0.743,1.00E+00,Ctnna3
4.78E-04,-0.4836346649,0.284,0.404,1.00E+00,Mib1
4.80E-04,-0.3705000163,0.55,0.648,1.00E+00,Krit1
4.83E-04,-0.2941549187,0.594,0.737,1.00E+00,Atp6v0c
4.96E-04,0.4480572453,0.466,0.376,1.00E+00,Acin1
5.09E-04,-0.668180892,0.202,0.3,1.00E+00,Psmb2
5.16E-04,-1.68794413,0.018,0.065,1.00E+00,AC156546.1
5.59E-04,-1.077283487,0.06,0.128,1.00E+00,Uqcr10
5.63E-04,-0.9539026805,0.069,0.141,1.00E+00,Tbc1d17
5.72E-04,-1.220545677,0.06,0.126,1.00E+00,Stard13
5.85E-04,-0.4752450248,0.385,0.513,1.00E+00,Mapk8
6.08E-04,-0.6142521063,0.317,0.42,1.00E+00,Zcchc18
6.42E-04,-0.7528537091,0.106,0.187,1.00E+00,Rbm3
6.57E-04,-0.9042634434,0.034,0.091,1.00E+00,Gbe1
