p_val,avg_log2FC,pct.OE,pct.Scr,p_val_adj,gene
4.78E-51,-1.080831327,0.924,1,1.10E-46,AC149090.1
6.88E-16,-1.917145886,0.071,0.324,1.58E-11,Aldh1l2
8.92E-16,0.2744181639,1,1,2.05E-11,Malat1
1.15E-13,-1.162787167,0.126,0.415,2.64E-09,Aars
3.71E-12,-0.7841679044,0.541,0.831,8.51E-08,AY036118
5.69E-12,-0.8417525728,0.284,0.647,1.31E-07,Sars
6.02E-12,-1.268124349,0.117,0.367,1.38E-07,Cars
1.72E-11,-0.8511528228,0.144,0.425,3.95E-07,Sncb
4.90E-11,-0.954794008,0.211,0.493,1.12E-06,Tac1
4.41E-10,-6.679682442,0,0.087,1.01E-05,Sst
6.36E-10,-1.962222494,0.037,0.184,1.46E-05,9530026P05Rik
7.54E-10,-0.8115895878,0.232,0.536,1.73E-05,Ctsb
3.47E-09,-4.335388524,0.002,0.087,7.97E-05,Gm26812
4.11E-09,-0.9560365889,0.11,0.324,9.45E-05,Dmtf1
4.20E-09,-0.7017481389,0.177,0.444,9.65E-05,Eif1
4.36E-09,-0.6500132713,0.271,0.58,1.00E-04,Hspa8
5.18E-09,-1.897964576,0.028,0.155,1.19E-04,Osgepl1
6.70E-09,-0.5034830057,0.633,0.903,1.54E-04,Psap
7.37E-09,-0.7358109231,0.128,0.353,1.69E-04,Stk40
8.44E-09,-0.4417952677,0.867,0.99,1.94E-04,Gm42418
1.15E-08,-0.5898589366,0.541,0.841,2.65E-04,Las1l
1.65E-08,-1.565398371,0.099,0.275,3.78E-04,Mybpc1
2.57E-08,-0.8386575323,0.083,0.261,5.90E-04,Terf2
2.67E-08,-0.6415177237,0.193,0.449,6.13E-04,Nars
3.17E-08,-0.689247905,0.312,0.614,7.29E-04,Ubr2
3.46E-08,-0.6215806128,0.236,0.517,7.95E-04,Yars
3.71E-08,-0.7826026851,0.174,0.415,8.52E-04,F730043M19Rik
4.35E-08,-0.7846693713,0.147,0.372,9.99E-04,Rell2
4.40E-08,-0.9114807757,0.122,0.324,1.01E-03,Slc1a4
6.51E-08,-0.5915004635,0.211,0.473,1.49E-03,Atp5b
6.92E-08,-2.062600849,0.023,0.13,1.59E-03,Gm16105
7.80E-08,-0.3908796041,0.908,0.986,1.79E-03,Atp1b1
9.44E-08,-0.7013417011,0.179,0.411,2.17E-03,Eef2k
1.08E-07,-0.5683675824,0.2,0.449,2.49E-03,Cpsf7
1.09E-07,-0.8383724046,0.124,0.324,2.50E-03,Slc7a1
1.41E-07,-1.384902504,0.053,0.188,3.24E-03,Minar1
1.44E-07,-1.152815603,0.034,0.155,3.31E-03,Asns
1.77E-07,-1.398877079,0.044,0.169,4.06E-03,Cry1
1.84E-07,-0.8002620448,0.099,0.275,4.22E-03,Samm50
2.02E-07,-0.6281507148,0.151,0.367,4.63E-03,Cbarp
2.57E-07,-0.7562234137,0.14,0.343,5.89E-03,Bfar
2.62E-07,-1.210861507,0.062,0.203,6.01E-03,Trim66
2.66E-07,-0.7335811411,0.165,0.377,6.11E-03,Stt3b
2.98E-07,-0.3963377251,0.851,0.981,6.83E-03,App
2.99E-07,-0.6250221884,0.303,0.585,6.87E-03,Gapdh
3.01E-07,-0.5050536498,0.303,0.594,6.92E-03,Brd9
3.20E-07,-0.8582955701,0.197,0.42,7.35E-03,Bcat1
3.24E-07,-0.683673872,0.083,0.246,7.45E-03,Cntfr
3.95E-07,-0.6399560087,0.337,0.604,9.07E-03,Zbtb16
4.06E-07,-0.7011908613,0.11,0.295,9.32E-03,Irak1
4.41E-07,-0.7947765688,0.106,0.285,1.01E-02,Gprasp2
4.50E-07,-0.5417669117,0.606,0.812,1.03E-02,Efna5
5.41E-07,-0.9736069839,0.144,0.333,1.24E-02,Tmem184b
5.47E-07,-0.5419805783,0.312,0.599,1.26E-02,Drg1
5.49E-07,-0.9559513317,0.064,0.203,1.26E-02,Ccnd2
5.68E-07,-0.5531703056,0.142,0.348,1.30E-02,Ndufaf4
6.12E-07,-2.989163492,0.005,0.072,1.40E-02,Trmo
6.29E-07,-0.5535839992,0.261,0.536,1.44E-02,Idh3b
7.19E-07,-1.490331868,0.028,0.13,1.65E-02,Inafm1
7.81E-07,-0.4441609346,0.133,0.333,1.79E-02,Slc38a6
8.49E-07,-0.785071389,0.069,0.213,1.95E-02,Papss1
8.77E-07,-0.9014501443,0.062,0.198,2.01E-02,Slc27a2
9.40E-07,-0.6494622567,0.147,0.348,2.16E-02,Lhx6
9.59E-07,-1.255006131,0.053,0.179,2.20E-02,Slc6a9
1.02E-06,-0.7556345775,0.126,0.309,2.35E-02,Ube2e3
1.17E-06,-0.9410854422,0.055,0.184,2.68E-02,Tgfb3
1.17E-06,-0.4320173585,0.197,0.435,2.69E-02,Pld3
