G01_292_OL	G01_293_OL	G01_901_OL	G01_902_OL	G01_903_OL	Mean 	S.D	S.E.M 
0.217	0.404	0.347	0.289	0.452	0.342	0.093	0.041
0.326	0.397	0.45	0.445	0.631	0.45	0.113	0.05
0.36	0.434	0.513	0.537	0.664	0.502	0.114	0.051
0.381	0.551	0.582	0.585	0.657	0.551	0.103	0.046
0.293	0.28	0.19	0.423	0.511	0.3394	0.127	0.057
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
-25.14	-12.967	-14.733	-21.213	-21.67	-19.145	5.105	2.283
-13.343	-11.827	-7.557	-7	-8.927	-9.731	2.751	1.23
-11.367	-6.927	-7.44	-6.987	-8.647	-8.274	1.862	0.833
-5.737	-4.2	-6.067	-7.153	-8.547	-6.341	1.624	0.726
-13.526	-13.519	-3.061	-7.8263	-6.481	-8.883	4.578	2.047
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
