G01_293_OL	G01_901_OL	G01_903_OL	G01_292_OL	G01_902_OL	Mean 	S.D	S.E.M 
0.152	0.187	0.505	0.301	0.261	0.281	0.138	0.062
0.292	0.271	0.625	0.374	0.396	0.392	0.141	0.063
0.488	0.415	0.651	0.545	0.619	0.544	0.096	0.043
0.463	0.433	0.692	0.617	0.687	0.578	0.123	0.055
0.348	0.478	0.681	0.479	0.634	0.524	0.134	0.06
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
-20.497	-15.343	-19.683	-9.417	-16.697	-16.327	4.402	1.969
-6.207	-2.99	-7.907	2.3	-5.327	-4.026	3.956	1.769
-7.92	-1.653	-8.813	-2.62	-5.547	-5.311	3.152	1.41
-4.34	1.683	-5.527	-6.367	-6.373	-4.185	3.384	1.513
-2.757	-2.67	-8.51	-5.29	-8.297	-5.505	2.849	1.274
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-----	-----	-----	-----	-----	-----	-----	-----
